horizontal_flip {'p': 0}
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.528
Round: 1000 f1_score: 0.48908017111484436
Round: 1000 average_Acc_f1: 0.5085400855574223


seed: 44, noise_scale: 0.2
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.664
Round: 5 f1_score: 0.6494098398971603
Round: 5 average_Acc_f1: 0.6567049199485802


Round: 10 Accuracy: 0.696
Round: 10 f1_score: 0.6875976257419556
Round: 10 average_Acc_f1: 0.6917988128709778


Round: 20 Accuracy: 0.776
Round: 20 f1_score: 0.7752953261427837
Round: 20 average_Acc_f1: 0.7756476630713919


Round: 50 Accuracy: 0.83
Round: 50 f1_score: 0.8296395172184341
Round: 50 average_Acc_f1: 0.8298197586092171


Round: 100 Accuracy: 0.834
Round: 100 f1_score: 0.8339833983398339
Round: 100 average_Acc_f1: 0.833991699169917


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.568
Round: 1000 f1_score: 0.5484647802528597
Round: 1000 average_Acc_f1: 0.5582323901264299


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 0.3
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.714
Round: 5 f1_score: 0.7128963736603504
Round: 5 average_Acc_f1: 0.7134481868301752


Round: 10 Accuracy: 0.682
Round: 10 f1_score: 0.6679073148113338
Round: 10 average_Acc_f1: 0.6749536574056669


Round: 20 Accuracy: 0.756
Round: 20 f1_score: 0.7519357147504717
Round: 20 average_Acc_f1: 0.7539678573752359


Round: 50 Accuracy: 0.826
Round: 50 f1_score: 0.8254911321413241
Round: 50 average_Acc_f1: 0.8257455660706621


Round: 100 Accuracy: 0.822
Round: 100 f1_score: 0.8218795906032479
Round: 100 average_Acc_f1: 0.8219397953016239


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
