horizontal_flip {'p': 0}
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.488
Round: 1000 f1_score: 0.45444626295690127
Round: 1000 average_Acc_f1: 0.47122313147845063


seed: 44, noise_scale: 0.2
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.534
Round: 2 f1_score: 0.3898958371519395
Round: 2 average_Acc_f1: 0.46194791857596973


Round: 5 Accuracy: 0.642
Round: 5 f1_score: 0.6129411713827299
Round: 5 average_Acc_f1: 0.6274705856913649


Round: 10 Accuracy: 0.744
Round: 10 f1_score: 0.742947111368164
Round: 10 average_Acc_f1: 0.743473555684082


Round: 20 Accuracy: 0.856
Round: 20 f1_score: 0.8556674578228238
Round: 20 average_Acc_f1: 0.855833728911412


Round: 50 Accuracy: 0.852
Round: 50 f1_score: 0.8517129162057744
Round: 50 average_Acc_f1: 0.8518564581028871


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 0.3
Round: 1 Accuracy: 0.616
Round: 1 f1_score: 0.6130030959752322
Round: 1 average_Acc_f1: 0.6145015479876161


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.702
Round: 5 f1_score: 0.6983500354286871
Round: 5 average_Acc_f1: 0.7001750177143435


Round: 10 Accuracy: 0.742
Round: 10 f1_score: 0.7415440837637592
Round: 10 average_Acc_f1: 0.7417720418818796


Round: 20 Accuracy: 0.822
Round: 20 f1_score: 0.8215538847117795
Round: 20 average_Acc_f1: 0.8217769423558897


Round: 50 Accuracy: 0.832
Round: 50 f1_score: 0.8314714946070878
Round: 50 average_Acc_f1: 0.8317357473035438


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
